nivel_geo,abrangencia,cod_ibge_7_pop,cod_mun_pop,municipio_sinesp,nome_municipio_pop,ano,ano_mes,formulario_clean,evento_clean,arma,num_total,num_fem,num_masc,pop_total,pop_fem,pop_masc
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 6,Arma de Fogo Apreendida,Rifle,5,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2015,2015-12,Formulário 6,Arma de Fogo Apreendida,Submetralhadora,6,,,11070711,5688372,5382339
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 6,Arma de Fogo Apreendida,Carabina,12,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 6,Arma de Fogo Apreendida,Espingarda,195,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 6,Arma de Fogo Apreendida,Fuzil,10,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 6,Arma de Fogo Apreendida,Metralhadora,0,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 6,Arma de Fogo Apreendida,Outra,41,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 6,Arma de Fogo Apreendida,Pistola,176,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 6,Arma de Fogo Apreendida,Revolver,599,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 6,Arma de Fogo Apreendida,Rifle,3,,,11109776,5709062,5400714
