nivel_geo,abrangencia,cod_ibge_7_pop,cod_mun_pop,municipio_sinesp,nome_municipio_pop,ano,ano_mes,formulario_clean,evento_clean,faixa_etaria,num_total,num_fem,num_masc,pop_total,pop_fem,pop_masc
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-05,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-05,Formulário 7,Pessoa Desaparecida,Maior de Idade,356,118,238,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-05,Formulário 7,Pessoa Desaparecida,Menor de Idade,348,225,123,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-05,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-05,Formulário 7,Pessoa Localizada,Maior de Idade,302,109,193,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-05,Formulário 7,Pessoa Localizada,Menor de Idade,342,207,135,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-06,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-06,Formulário 7,Pessoa Desaparecida,Maior de Idade,316,94,222,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-06,Formulário 7,Pessoa Desaparecida,Menor de Idade,397,230,167,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-06,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-06,Formulário 7,Pessoa Localizada,Maior de Idade,299,98,201,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-06,Formulário 7,Pessoa Localizada,Menor de Idade,315,185,130,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-07,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-07,Formulário 7,Pessoa Desaparecida,Maior de Idade,381,124,257,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-07,Formulário 7,Pessoa Desaparecida,Menor de Idade,464,283,181,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-07,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-07,Formulário 7,Pessoa Localizada,Maior de Idade,304,101,203,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-07,Formulário 7,Pessoa Localizada,Menor de Idade,357,207,150,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-08,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-08,Formulário 7,Pessoa Desaparecida,Maior de Idade,334,121,213,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-08,Formulário 7,Pessoa Desaparecida,Menor de Idade,446,266,180,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-08,Formulário 7,Pessoa Localizada,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-08,Formulário 7,Pessoa Localizada,Maior de Idade,307,101,206,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-08,Formulário 7,Pessoa Localizada,Menor de Idade,342,201,141,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-09,Formulário 7,Pessoa Desaparecida,Idade Não Informada,0,0,0,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-09,Formulário 7,Pessoa Desaparecida,Maior de Idade,332,110,222,11109776,5709062,5400714
